USER_ID,AGE_GROUP,GENDER,HAS_GENDER_REPORTED,REGION,YEAR_PATH_STARTED
U1804914983190985673,35-39 ans,Non renseigné,FALSE,Bretagne,2022
U-904691043249564693,30-34 ans,Non renseigné,FALSE,Nouvelle-Aquitaine,2023
U7414242602960386807,30-34 ans,Non renseigné,FALSE,Île-de-France,2022
U2543424095597806606,35-39 ans,M,TRUE,Île-de-France,2022
U-4508324953880405804,20-24 ans,M,TRUE,Grand Est,2025
U4639350462233944401,35-39 ans,Non renseigné,FALSE,Île-de-France,2023
U-7968051962297202020,20-24 ans,F,TRUE,Île-de-France,2024
U2767251937881056744,25-29 ans,F,TRUE,Île-de-France,2024
U3971878989133830556,20-24 ans,Non renseigné,FALSE,Île-de-France,2022
U9063126453827068100,25-29 ans,M,TRUE,Hauts-de-France,2024
U1829291764235363649,45-49 ans,M,TRUE,Nouvelle-Aquitaine,2024
U-2168372580118356369,30-34 ans,M,TRUE,Île-de-France,2024
U734908092223141200,30-34 ans,F,TRUE,Bourgogne-Franche-Comté,2025
U1523075253773249499,40-44 ans,M,TRUE,DROM,2025
U-7887261101110104693,40-44 ans,Non renseigné,FALSE,Île-de-France,2023
U-2379936785983627400,40-44 ans,F,TRUE,Nouvelle-Aquitaine,2024
U-3084434377249980451,55-59 ans,M,TRUE,Grand Est,2025
U8366132466638343571,30-34 ans,M,TRUE,Auvergne-Rhône-Alpes,2023
U140751813152092077,35-39 ans,Non renseigné,FALSE,Île-de-France,2023
U-1185646779371827021,45-49 ans,Non renseigné,FALSE,Pays de la Loire,2022
U403209264517034255,35-39 ans,F,TRUE,Île-de-France,2023
U-2003708016549546938,25-29 ans,F,TRUE,Île-de-France,2023
U528437695410135275,30-34 ans,M,TRUE,Grand Est,2024
U-18616174952062504,45-49 ans,F,TRUE,Nouvelle-Aquitaine,2023
U2140608801520166402,45-49 ans,F,TRUE,Bourgogne-Franche-Comté,2025
U1822727729443993835,35-39 ans,Non renseigné,FALSE,Normandie,2022
U-3426477863080176857,30-34 ans,F,TRUE,Île-de-France,2023
U-3513881342104618244,40-44 ans,M,TRUE,Île-de-France,2025
U-7341140721367775075,20-24 ans,M,TRUE,Nouvelle-Aquitaine,2025
U3577184192436935830,50-54 ans,M,TRUE,Île-de-France,2022
U3323680272915908167,25-29 ans,F,TRUE,Pays de la Loire,2024
U4411919640681179786,45-49 ans,Non renseigné,FALSE,Île-de-France,2023
U-6964441536422731167,25-29 ans,M,TRUE,Centre-Val de Loire,2025
U1886156756425180144,25-29 ans,Non renseigné,FALSE,Île-de-France,2022
U2062102062886633029,45-49 ans,M,TRUE,Île-de-France,2023
U-6425894070516099334,25-29 ans,M,TRUE,Bourgogne-Franche-Comté,2022
U3252817878863008349,30-34 ans,M,TRUE,Île-de-France,2023
U8006589478500576361,45-49 ans,F,TRUE,Normandie,2023
U2986723210131728078,25-29 ans,F,TRUE,Auvergne-Rhône-Alpes,2025
U-8125849591486274838,30-34 ans,Non renseigné,FALSE,Bourgogne-Franche-Comté,2022
U4669947283589370197,40-44 ans,F,TRUE,Provence-Alpes-Côte d'Azur,2023
U-614066908805246579,40-44 ans,Non renseigné,FALSE,Île-de-France,2024
U-5294237699503517953,25-29 ans,Non renseigné,FALSE,Provence-Alpes-Côte d'Azur,2023
U-1937978355055344986,30-34 ans,F,TRUE,Île-de-France,2025
U-2686329358026469282,40-44 ans,F,TRUE,Île-de-France,2022
U1107058279771817115,25-29 ans,F,TRUE,Île-de-France,2023
U-2435769387771544919,50-54 ans,Non renseigné,FALSE,Bretagne,2023
U-1687665028885987991,35-39 ans,Non renseigné,FALSE,Provence-Alpes-Côte d'Azur,2025
U-394249056391750960,60 ans ou plus,Non renseigné,FALSE,Occitanie,2022
U-3791107561091856279,25-29 ans,Non renseigné,FALSE,Île-de-France,2022
U457711041838793801,30-34 ans,Non renseigné,FALSE,Île-de-France,2024
U-1232362733143982448,35-39 ans,M,TRUE,Île-de-France,2022
U7585593772152861097,25-29 ans,M,TRUE,Bourgogne-Franche-Comté,2024
U-6842051748642522479,25-29 ans,Non renseigné,FALSE,Île-de-France,2022
U-2927141177216170234,40-44 ans,M,TRUE,Nouvelle-Aquitaine,2022
U-5371406625778881341,25-29 ans,M,TRUE,Île-de-France,2022
U-5290364192515776283,35-39 ans,Non renseigné,FALSE,Île-de-France,2023
U266939873859515662,20-24 ans,M,TRUE,Auvergne-Rhône-Alpes,2024
U2874023095755862976,25-29 ans,F,TRUE,Occitanie,2024
U-518257463772999184,45-49 ans,Non renseigné,FALSE,Grand Est,2022
U654354981094660010,30-34 ans,M,TRUE,Bretagne,2024
U-2404297639711581704,40-44 ans,M,TRUE,Île-de-France,2022
U-6192159987475469405,25-29 ans,Non renseigné,FALSE,Île-de-France,2023
U-7404151664664335616,55-59 ans,Non renseigné,FALSE,Île-de-France,2023
U-5223270113672225445,35-39 ans,Non renseigné,FALSE,Occitanie,2023
U8660676852515308275,35-39 ans,Non renseigné,FALSE,Île-de-France,2022
U1488986583084515102,40-44 ans,M,TRUE,Provence-Alpes-Côte d'Azur,2025
U-5752177660210607044,35-39 ans,F,TRUE,Auvergne-Rhône-Alpes,2024
U-6751456617748513131,30-34 ans,M,TRUE,Bretagne,2023
U8004339831993022581,35-39 ans,Non renseigné,FALSE,Bretagne,2024
U2250851141437881896,35-39 ans,F,TRUE,Hauts-de-France,2022
U-5627791633784102884,30-34 ans,Non renseigné,FALSE,Île-de-France,2025
U7995853890021797430,25-29 ans,F,TRUE,Île-de-France,2025
U-3914503172792933255,25-29 ans,M,TRUE,Île-de-France,2025
U-492453422215373978,30-34 ans,M,TRUE,Île-de-France,2022
U2809264994996172755,25-29 ans,M,TRUE,Auvergne-Rhône-Alpes,2025
U538779216946739364,35-39 ans,F,TRUE,Île-de-France,2025
U4429566291092949292,45-49 ans,M,TRUE,Île-de-France,2022
U-736130784425495047,25-29 ans,F,TRUE,Île-de-France,2024
U6744338666838502327,45-49 ans,F,TRUE,Île-de-France,2023
U8289557525040830593,30-34 ans,M,TRUE,Normandie,2023
U5182679820684617685,30-34 ans,Non renseigné,FALSE,Île-de-France,2025
U-3560751395370328144,35-39 ans,F,TRUE,Occitanie,2025
U-2658308448120860878,50-54 ans,M,TRUE,Île-de-France,2022
U3108149232846304046,25-29 ans,M,TRUE,Nouvelle-Aquitaine,2024
U-7510524969231967764,50-54 ans,F,TRUE,Île-de-France,2024
U-8270780708874663484,40-44 ans,M,TRUE,Île-de-France,2025
U4123000088320301409,50-54 ans,Non renseigné,FALSE,Auvergne-Rhône-Alpes,2022
U-6724094437529261247,35-39 ans,M,TRUE,Normandie,2022
U2214339382082253502,25-29 ans,F,TRUE,Île-de-France,2024
U-6380093759419292288,30-34 ans,M,TRUE,Bourgogne-Franche-Comté,2023
U-3675908775783293938,50-54 ans,M,TRUE,Île-de-France,2022
U-5170066421720298066,55-59 ans,M,TRUE,Île-de-France,2025
U-1976654008172450346,45-49 ans,Non renseigné,FALSE,Grand Est,2024
U8176511694734484598,50-54 ans,Non renseigné,FALSE,Île-de-France,2025
U6248904384893923091,30-34 ans,M,TRUE,Nouvelle-Aquitaine,2025
U-8426936082537515940,35-39 ans,Non renseigné,FALSE,Hauts-de-France,2023
U-229496692148563209,45-49 ans,F,TRUE,Île-de-France,2022
