YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,HAS_GENDER_REPORTED,STUDENT_COUNT,TOTAL_STUDENTS_YEAR,PCT_OF_YEAR
2022,Provence-Alpes-Côte d'Azur,35-39 ans,Non renseigné,False,6,1696,0.35
2023,Île-de-France,50-54 ans,Non renseigné,False,16,1150,1.39
2023,Île-de-France,25-29 ans,M,True,60,1150,5.22
2022,Nouvelle-Aquitaine,40-44 ans,M,True,7,1696,0.41
2025,Île-de-France,35-39 ans,M,True,38,951,4.0
2022,Île-de-France,40-44 ans,F,True,34,1696,2.0
2025,Grand Est,30-34 ans,F,True,4,951,0.42
2022,Grand Est,35-39 ans,M,True,10,1696,0.59
2024,Normandie,25-29 ans,M,True,2,850,0.24
2023,Provence-Alpes-Côte d'Azur,25-29 ans,M,True,7,1150,0.61
2025,Bourgogne-Franche-Comté,35-39 ans,M,True,1,951,0.11
2023,Nouvelle-Aquitaine,25-29 ans,M,True,10,1150,0.87
2025,Île-de-France,45-49 ans,F,True,10,951,1.05
2024,Île-de-France,35-39 ans,F,True,21,850,2.47
2023,Centre-Val de Loire,25-29 ans,M,True,5,1150,0.43
2024,Centre-Val de Loire,30-34 ans,M,True,3,850,0.35
2024,Île-de-France,20-24 ans,F,True,4,850,0.47
2022,Auvergne-Rhône-Alpes,25-29 ans,Non renseigné,False,11,1696,0.65
2025,Centre-Val de Loire,60 ans ou plus,M,True,2,951,0.21
2022,Occitanie,40-44 ans,M,True,6,1696,0.35
2023,Pays de la Loire,40-44 ans,Non renseigné,False,1,1150,0.09
2022,Provence-Alpes-Côte d'Azur,45-49 ans,Non renseigné,False,4,1696,0.24
2025,Provence-Alpes-Côte d'Azur,30-34 ans,M,True,14,951,1.47
2024,Centre-Val de Loire,45-49 ans,M,True,1,850,0.12
2025,Provence-Alpes-Côte d'Azur,50-54 ans,M,True,3,951,0.32
2024,Auvergne-Rhône-Alpes,35-39 ans,M,True,7,850,0.82
2023,Hauts-de-France,20-24 ans,M,True,2,1150,0.17
2024,Grand Est,30-34 ans,M,True,7,850,0.82
2022,Hauts-de-France,35-39 ans,Non renseigné,False,5,1696,0.29
2022,Hauts-de-France,30-34 ans,M,True,17,1696,1.0
2025,Nouvelle-Aquitaine,45-49 ans,M,True,3,951,0.32
2025,Occitanie,50-54 ans,F,True,2,951,0.21
2024,Pays de la Loire,35-39 ans,Non renseigné,False,1,850,0.12
2022,Île-de-France,45-49 ans,Non renseigné,False,23,1696,1.36
2022,Nouvelle-Aquitaine,35-39 ans,Non renseigné,False,5,1696,0.29
2024,Nouvelle-Aquitaine,20-24 ans,M,True,3,850,0.35
2024,Occitanie,35-39 ans,M,True,5,850,0.59
2025,Occitanie,45-49 ans,M,True,5,951,0.53
2025,Provence-Alpes-Côte d'Azur,20-24 ans,M,True,4,951,0.42
2025,Pays de la Loire,40-44 ans,M,True,3,951,0.32
2023,Auvergne-Rhône-Alpes,25-29 ans,Non renseigné,False,6,1150,0.52
2023,Île-de-France,60 ans ou plus,Non renseigné,False,5,1150,0.43
2023,Normandie,50-54 ans,M,True,2,1150,0.17
2023,Pays de la Loire,50-54 ans,M,True,2,1150,0.17
2022,Île-de-France,50-54 ans,F,True,4,1696,0.24
2023,Auvergne-Rhône-Alpes,35-39 ans,M,True,6,1150,0.52
2024,Nouvelle-Aquitaine,35-39 ans,F,True,4,850,0.47
2024,Bretagne,20-24 ans,M,True,3,850,0.35
2024,Normandie,30-34 ans,M,True,3,850,0.35
2024,Bretagne,35-39 ans,M,True,2,850,0.24
2025,Nouvelle-Aquitaine,60 ans ou plus,Non renseigné,False,1,951,0.11
2022,Île-de-France,60 ans ou plus,M,True,10,1696,0.59
2023,Île-de-France,55-59 ans,Non renseigné,False,12,1150,1.04
2023,Bretagne,40-44 ans,M,True,1,1150,0.09
2025,Normandie,50-54 ans,M,True,2,951,0.21
2025,Hauts-de-France,20-24 ans,M,True,3,951,0.32
2022,Auvergne-Rhône-Alpes,40-44 ans,M,True,7,1696,0.41
2022,Provence-Alpes-Côte d'Azur,50-54 ans,Non renseigné,False,2,1696,0.12
2023,Hauts-de-France,35-39 ans,Non renseigné,False,6,1150,0.52
2022,Hauts-de-France,25-29 ans,M,True,2,1696,0.12
2023,Centre-Val de Loire,45-49 ans,M,True,2,1150,0.17
2024,Grand Est,30-34 ans,F,True,2,850,0.24
2024,Île-de-France,45-49 ans,Non renseigné,False,1,850,0.12
2023,Nouvelle-Aquitaine,40-44 ans,F,True,3,1150,0.26
2022,Bretagne,25-29 ans,M,True,2,1696,0.12
2025,Auvergne-Rhône-Alpes,20-24 ans,Non renseigné,False,1,951,0.11
2024,Normandie,40-44 ans,F,True,1,850,0.12
2024,Provence-Alpes-Côte d'Azur,30-34 ans,F,True,1,850,0.12
2025,Bretagne,55-59 ans,M,True,1,951,0.11
2024,Île-de-France,25-29 ans,Non renseigné,False,2,850,0.24
2022,Grand Est,45-49 ans,M,True,2,1696,0.12
2024,Nouvelle-Aquitaine,50-54 ans,F,True,2,850,0.24
2024,Auvergne-Rhône-Alpes,20-24 ans,F,True,1,850,0.12
2024,Normandie,20-24 ans,M,True,3,850,0.35
2023,Occitanie,35-39 ans,Non renseigné,False,2,1150,0.17
2025,Centre-Val de Loire,45-49 ans,F,True,2,951,0.21
2024,Provence-Alpes-Côte d'Azur,35-39 ans,Non renseigné,False,2,850,0.24
2022,Grand Est,45-49 ans,Non renseigné,False,2,1696,0.12
2023,Bretagne,35-39 ans,Non renseigné,False,3,1150,0.26
2022,DROM,40-44 ans,Non renseigné,False,1,1696,0.06
2024,Nouvelle-Aquitaine,45-49 ans,Non renseigné,False,1,850,0.12
2024,Grand Est,50-54 ans,Non renseigné,False,1,850,0.12
2025,Normandie,30-34 ans,Non renseigné,False,1,951,0.11
2022,Provence-Alpes-Côte d'Azur,55-59 ans,Non renseigné,False,1,1696,0.06
2024,Grand Est,20-24 ans,F,True,1,850,0.12
2022,Provence-Alpes-Côte d'Azur,35-39 ans,F,True,1,1696,0.06
2024,Provence-Alpes-Côte d'Azur,45-49 ans,F,True,2,850,0.24
2025,Normandie,25-29 ans,M,True,2,951,0.21
2023,Île-de-France,20-24 ans,Non renseigné,False,1,1150,0.09
2025,Grand Est,55-59 ans,M,True,1,951,0.11
2023,Normandie,30-34 ans,M,True,2,1150,0.17
2025,Bourgogne-Franche-Comté,45-49 ans,M,True,1,951,0.11
2022,Normandie,40-44 ans,Non renseigné,False,1,1696,0.06
2024,Centre-Val de Loire,40-44 ans,F,True,1,850,0.12
2023,DROM,35-39 ans,M,True,1,1150,0.09
2023,Centre-Val de Loire,50-54 ans,M,True,1,1150,0.09
2023,Hauts-de-France,45-49 ans,F,True,1,1150,0.09
2022,Auvergne-Rhône-Alpes,40-44 ans,Non renseigné,False,14,1696,0.83
2022,Bourgogne-Franche-Comté,30-34 ans,Non renseigné,False,4,1696,0.24
2022,Hauts-de-France,30-34 ans,F,True,7,1696,0.41
2025,Grand Est,35-39 ans,M,True,10,951,1.05
2022,Provence-Alpes-Côte d'Azur,25-29 ans,Non renseigné,False,8,1696,0.47
2022,Pays de la Loire,45-49 ans,F,True,2,1696,0.12
2022,Occitanie,25-29 ans,M,True,10,1696,0.59
2025,Île-de-France,50-54 ans,Non renseigné,False,4,951,0.42
2023,Centre-Val de Loire,30-34 ans,F,True,2,1150,0.17
2025,Grand Est,30-34 ans,M,True,6,951,0.63
2025,Occitanie,35-39 ans,M,True,9,951,0.95
2023,Île-de-France,50-54 ans,M,True,14,1150,1.22
2024,Auvergne-Rhône-Alpes,45-49 ans,M,True,7,850,0.82
2022,Centre-Val de Loire,35-39 ans,M,True,7,1696,0.41
2025,Île-de-France,45-49 ans,M,True,20,951,2.1
2022,Île-de-France,50-54 ans,M,True,21,1696,1.24
2024,Île-de-France,30-34 ans,Non renseigné,False,10,850,1.18
2024,Provence-Alpes-Côte d'Azur,25-29 ans,F,True,7,850,0.82
2023,Île-de-France,25-29 ans,Non renseigné,False,47,1150,4.09
2025,Bretagne,60 ans ou plus,F,True,1,951,0.11
2023,Bretagne,30-34 ans,Non renseigné,False,4,1150,0.35
2022,Nouvelle-Aquitaine,25-29 ans,Non renseigné,False,10,1696,0.59
2025,Nouvelle-Aquitaine,20-24 ans,M,True,6,951,0.63
2023,Provence-Alpes-Côte d'Azur,30-34 ans,F,True,4,1150,0.35
2025,Nouvelle-Aquitaine,55-59 ans,M,True,3,951,0.32
2024,Centre-Val de Loire,25-29 ans,M,True,5,850,0.59
2025,Normandie,50-54 ans,F,True,2,951,0.21
2024,Île-de-France,45-49 ans,M,True,16,850,1.88
2022,Grand Est,35-39 ans,Non renseigné,False,9,1696,0.53
2024,Île-de-France,40-44 ans,Non renseigné,False,8,850,0.94
2023,Centre-Val de Loire,30-34 ans,M,True,2,1150,0.17
2024,Nouvelle-Aquitaine,40-44 ans,M,True,3,850,0.35
2022,Auvergne-Rhône-Alpes,50-54 ans,M,True,3,1696,0.18
2022,Auvergne-Rhône-Alpes,30-34 ans,Non renseigné,False,23,1696,1.36
2022,Grand Est,40-44 ans,M,True,8,1696,0.47
2024,Grand Est,35-39 ans,F,True,1,850,0.12
2022,Bourgogne-Franche-Comté,25-29 ans,F,True,2,1696,0.12
2025,Auvergne-Rhône-Alpes,50-54 ans,M,True,1,951,0.11
2025,Nouvelle-Aquitaine,35-39 ans,F,True,2,951,0.21
2022,Bretagne,45-49 ans,M,True,4,1696,0.24
2022,Provence-Alpes-Côte d'Azur,50-54 ans,M,True,2,1696,0.12
2023,Hauts-de-France,30-34 ans,F,True,5,1150,0.43
2022,Bretagne,35-39 ans,Non renseigné,False,3,1696,0.18
2024,Île-de-France,40-44 ans,M,True,25,850,2.94
2024,Bretagne,40-44 ans,M,True,4,850,0.47
2024,Île-de-France,35-39 ans,M,True,35,850,4.12
2025,DROM,40-44 ans,F,True,1,951,0.11
2022,Auvergne-Rhône-Alpes,35-39 ans,Non renseigné,False,12,1696,0.71
2025,Pays de la Loire,55-59 ans,F,True,2,951,0.21
2023,Auvergne-Rhône-Alpes,45-49 ans,Non renseigné,False,2,1150,0.17
2022,Provence-Alpes-Côte d'Azur,60 ans ou plus,M,True,2,1696,0.12
2022,Bretagne,25-29 ans,F,True,1,1696,0.06
2023,Île-de-France,35-39 ans,F,True,30,1150,2.61
2022,Pays de la Loire,45-49 ans,Non renseigné,False,3,1696,0.18
2025,Île-de-France,50-54 ans,F,True,6,951,0.63
2023,Grand Est,40-44 ans,M,True,4,1150,0.35
2022,Normandie,25-29 ans,M,True,5,1696,0.29
2023,Pays de la Loire,35-39 ans,Non renseigné,False,6,1150,0.52
2022,Nouvelle-Aquitaine,20-24 ans,Non renseigné,False,1,1696,0.06
2023,Bretagne,50-54 ans,Non renseigné,False,2,1150,0.17
2023,Bourgogne-Franche-Comté,55-59 ans,M,True,2,1150,0.17
2022,Auvergne-Rhône-Alpes,25-29 ans,M,True,8,1696,0.47
2025,Hauts-de-France,45-49 ans,M,True,4,951,0.42
2022,Bretagne,30-34 ans,M,True,5,1696,0.29
2022,Hauts-de-France,50-54 ans,Non renseigné,False,4,1696,0.24
2023,Hauts-de-France,40-44 ans,Non renseigné,False,1,1150,0.09
2022,Pays de la Loire,55-59 ans,F,True,2,1696,0.12
2023,Nouvelle-Aquitaine,50-54 ans,F,True,2,1150,0.17
2023,Grand Est,20-24 ans,M,True,1,1150,0.09
2025,Bretagne,50-54 ans,M,True,1,951,0.11
2025,Auvergne-Rhône-Alpes,45-49 ans,M,True,2,951,0.21
