USER_ID,AGE_GROUP,GENDER,HAS_GENDER_REPORTED,REGION,YEAR_PATH_STARTED,FIRST_YEAR,IS_RETURNING_STUDENT
U7299543106808298485,30-34 ans,M,True,Île-de-France,2025,2023,True
U1829282434640363851,35-39 ans,M,True,Hauts-de-France,2025,2025,False
U-6755328472867187105,25-29 ans,M,True,Pays de la Loire,2023,2022,True
U-2331693052507949892,45-49 ans,M,True,Île-de-France,2022,2022,False
U-4628241657500045108,35-39 ans,F,True,Île-de-France,2023,2023,False
U4587787759898488681,45-49 ans,M,True,Auvergne-Rhône-Alpes,2022,2022,False
U-475437823557289330,30-34 ans,F,True,Auvergne-Rhône-Alpes,2022,2022,False
U2829786578626134451,45-49 ans,F,True,Île-de-France,2022,2022,False
U-3540655237123590846,40-44 ans,Non renseigné,False,DROM,2022,2022,False
U1509855382185199010,55-59 ans,Non renseigné,False,Île-de-France,2022,2022,False
U-5887322340483796747,25-29 ans,F,True,Île-de-France,2025,2025,False
U4330436167950632396,25-29 ans,M,True,Île-de-France,2024,2024,False
U9166631282976244671,30-34 ans,Non renseigné,False,Île-de-France,2022,2022,False
U-8545761365150792299,30-34 ans,M,True,Île-de-France,2024,2022,True
U-7735160732559326721,30-34 ans,M,True,Provence-Alpes-Côte d'Azur,2024,2024,False
U1338108802721215514,30-34 ans,Non renseigné,False,Provence-Alpes-Côte d'Azur,2023,2023,False
U2670714337491091487,40-44 ans,M,True,Île-de-France,2025,2022,True
U4674569341127031845,35-39 ans,M,True,Île-de-France,2024,2024,False
U5371052689653930175,55-59 ans,M,True,Provence-Alpes-Côte d'Azur,2025,2025,False
U3609496954159372922,35-39 ans,Non renseigné,False,Île-de-France,2022,2022,False
U5354263470336781655,30-34 ans,Non renseigné,False,Occitanie,2022,2022,False
U7378927310458068775,35-39 ans,M,True,DROM,2025,2025,False
U3749731062394491387,30-34 ans,M,True,Occitanie,2022,2022,False
U-419269490357744609,35-39 ans,Non renseigné,False,Normandie,2024,2023,True
U3809490086995731682,30-34 ans,M,True,Provence-Alpes-Côte d'Azur,2025,2025,False
U-2846167303317176020,35-39 ans,Non renseigné,False,Île-de-France,2023,2023,False
U-4013107686010160128,25-29 ans,Non renseigné,False,Île-de-France,2023,2023,False
U2670714337491091487,40-44 ans,M,True,Île-de-France,2022,2022,False
U2327903379338335979,35-39 ans,M,True,Hauts-de-France,2023,2023,False
U-5636577450518841370,50-54 ans,M,True,Île-de-France,2023,2023,False
U-6105603694632105601,25-29 ans,Non renseigné,False,Nouvelle-Aquitaine,2025,2025,False
U-5545163861091403656,50-54 ans,Non renseigné,False,Grand Est,2022,2022,False
U-7859374300759299029,45-49 ans,M,True,Grand Est,2024,2024,False
U-7512013381557806795,25-29 ans,Non renseigné,False,Île-de-France,2022,2022,False
U-1218574093191025151,45-49 ans,M,True,Bourgogne-Franche-Comté,2023,2023,False
U-3055171973344055136,25-29 ans,M,True,Île-de-France,2024,2024,False
U-742776768715652168,25-29 ans,M,True,Provence-Alpes-Côte d'Azur,2023,2022,True
U-1995609563585700787,55-59 ans,Non renseigné,False,Île-de-France,2023,2023,False
U-7928292064039115625,40-44 ans,M,True,Auvergne-Rhône-Alpes,2023,2023,False
U7585593772152861097,25-29 ans,M,True,Bourgogne-Franche-Comté,2024,2024,False
U2083662361787236734,30-34 ans,M,True,Île-de-France,2022,2022,False
U-9095777643172653087,25-29 ans,Non renseigné,False,Île-de-France,2023,2023,False
U8166127288046880885,35-39 ans,Non renseigné,False,Pays de la Loire,2022,2022,False
U-6072433181724141458,30-34 ans,Non renseigné,False,Hauts-de-France,2025,2025,False
U-9156010776145131556,45-49 ans,F,True,Île-de-France,2023,2023,False
U-4981248416194596287,20-24 ans,M,True,Auvergne-Rhône-Alpes,2024,2024,False
U-8498960783496399051,40-44 ans,M,True,Auvergne-Rhône-Alpes,2024,2024,False
U8409520364928427697,30-34 ans,F,True,Île-de-France,2023,2023,False
U-7558572590512408547,35-39 ans,Non renseigné,False,Auvergne-Rhône-Alpes,2022,2022,False
U-5268413406501659181,50-54 ans,M,True,Bourgogne-Franche-Comté,2022,2022,False
U563991935885969098,25-29 ans,M,True,Île-de-France,2024,2024,False
U-7687529470609387599,40-44 ans,M,True,Île-de-France,2022,2022,False
U-7424728007156972322,25-29 ans,M,True,Île-de-France,2023,2023,False
U-260385803995738770,25-29 ans,M,True,Provence-Alpes-Côte d'Azur,2025,2025,False
U1199254639666885751,30-34 ans,M,True,Normandie,2022,2022,False
U-7028767820961278791,30-34 ans,Non renseigné,False,Île-de-France,2023,2023,False
U-7126244163872510025,35-39 ans,M,True,Centre-Val de Loire,2023,2023,False
U6116556124896537762,30-34 ans,Non renseigné,False,Île-de-France,2022,2022,False
U-2283157318797230603,20-24 ans,M,True,Île-de-France,2023,2023,False
U-8719501738839016984,25-29 ans,Non renseigné,False,Bretagne,2022,2022,False
U-3621063002902619680,35-39 ans,M,True,Île-de-France,2025,2024,True
U2093331288087417241,40-44 ans,M,True,Île-de-France,2022,2022,False
U654354981094660010,30-34 ans,M,True,Bretagne,2024,2024,False
U1268025043921651135,35-39 ans,F,True,Grand Est,2023,2023,False
U-7070741627327557750,30-34 ans,Non renseigné,False,Auvergne-Rhône-Alpes,2023,2023,False
U1529744233794701937,25-29 ans,F,True,Île-de-France,2024,2024,False
U3198514370480469612,40-44 ans,F,True,Île-de-France,2023,2023,False
U12063978664402149,30-34 ans,Non renseigné,False,Île-de-France,2023,2022,True
U107619354641382196,55-59 ans,M,True,Île-de-France,2023,2023,False
U-6747431031244843875,45-49 ans,Non renseigné,False,Provence-Alpes-Côte d'Azur,2022,2022,False
U-416599143959356211,25-29 ans,M,True,Nouvelle-Aquitaine,2022,2022,False
U-2779387817943351919,45-49 ans,M,True,Occitanie,2023,2023,False
U-2801677953422440722,30-34 ans,F,True,Île-de-France,2024,2024,False
U9085820338735635369,30-34 ans,M,True,Provence-Alpes-Côte d'Azur,2022,2022,False
U-5719042911465138272,30-34 ans,M,True,Île-de-France,2025,2025,False
U7414242602960386807,30-34 ans,Non renseigné,False,Île-de-France,2022,2022,False
U-6370459609062457841,50-54 ans,F,True,Île-de-France,2025,2023,True
U1318977887110842515,30-34 ans,M,True,Île-de-France,2024,2024,False
U-9105705926520035033,30-34 ans,M,True,Île-de-France,2022,2022,False
U1490344267366270109,30-34 ans,M,True,Grand Est,2022,2022,False
U-3746503768400152595,40-44 ans,M,True,Provence-Alpes-Côte d'Azur,2022,2022,False
U-6745791433614903162,35-39 ans,M,True,Occitanie,2022,2022,False
U-5075965364846346301,40-44 ans,M,True,Hauts-de-France,2024,2024,False
U-8768365363392422581,40-44 ans,F,True,Hauts-de-France,2025,2025,False
U4124851270337412861,20-24 ans,M,True,Bretagne,2024,2024,False
U-8070695040285553057,45-49 ans,F,True,Île-de-France,2025,2023,True
U5717004167436738861,35-39 ans,Non renseigné,False,Nouvelle-Aquitaine,2023,2023,False
U-8487693505317588620,30-34 ans,Non renseigné,False,Provence-Alpes-Côte d'Azur,2023,2023,False
U-143114079076936780,45-49 ans,M,True,Nouvelle-Aquitaine,2023,2023,False
U-32019849202480313,35-39 ans,M,True,Auvergne-Rhône-Alpes,2025,2025,False
