year,region,age_group,gender,population
2022,Auvergne-Rhône-Alpes,20-24 ans,F,229467
2022,Auvergne-Rhône-Alpes,20-24 ans,M,243074
2022,Auvergne-Rhône-Alpes,25-29 ans,F,223233
2022,Auvergne-Rhône-Alpes,25-29 ans,M,225390
2022,Auvergne-Rhône-Alpes,30-34 ans,F,249192
2022,Auvergne-Rhône-Alpes,30-34 ans,M,242257
2022,Auvergne-Rhône-Alpes,35-39 ans,F,262378
2022,Auvergne-Rhône-Alpes,35-39 ans,M,251754
2022,Auvergne-Rhône-Alpes,40-44 ans,F,263118
2022,Auvergne-Rhône-Alpes,40-44 ans,M,253326
2022,Auvergne-Rhône-Alpes,45-49 ans,F,261325
2022,Auvergne-Rhône-Alpes,45-49 ans,M,260383
2022,Auvergne-Rhône-Alpes,50-54 ans,F,270808
2022,Auvergne-Rhône-Alpes,50-54 ans,M,268352
2022,Auvergne-Rhône-Alpes,55-59 ans,F,267832
2022,Auvergne-Rhône-Alpes,55-59 ans,M,259286
2022,Auvergne-Rhône-Alpes,60 ans ou plus,F,5392352
2022,Auvergne-Rhône-Alpes,60 ans ou plus,M,4935863
2022,Bourgogne-Franche-Comté,20-24 ans,F,70761
2022,Bourgogne-Franche-Comté,20-24 ans,M,79116
2022,Bourgogne-Franche-Comté,25-29 ans,F,66772
2022,Bourgogne-Franche-Comté,25-29 ans,M,70167
2022,Bourgogne-Franche-Comté,30-34 ans,F,74605
2022,Bourgogne-Franche-Comté,30-34 ans,M,74576
2022,Bourgogne-Franche-Comté,35-39 ans,F,80731
2022,Bourgogne-Franche-Comté,35-39 ans,M,79254
2022,Bourgogne-Franche-Comté,40-44 ans,F,82881
2022,Bourgogne-Franche-Comté,40-44 ans,M,80851
2022,Bourgogne-Franche-Comté,45-49 ans,F,87165
2022,Bourgogne-Franche-Comté,45-49 ans,M,85654
2022,Bourgogne-Franche-Comté,50-54 ans,F,94099
2022,Bourgogne-Franche-Comté,50-54 ans,M,92904
2022,Bourgogne-Franche-Comté,55-59 ans,F,95944
2022,Bourgogne-Franche-Comté,55-59 ans,M,92536
2022,Bourgogne-Franche-Comté,60 ans ou plus,F,1907004
2022,Bourgogne-Franche-Comté,60 ans ou plus,M,1744472
2022,Bretagne,20-24 ans,F,89357
2022,Bretagne,20-24 ans,M,98014
2022,Bretagne,25-29 ans,F,81592
2022,Bretagne,25-29 ans,M,85055
2022,Bretagne,30-34 ans,F,90458
2022,Bretagne,30-34 ans,M,90537
2022,Bretagne,35-39 ans,F,99469
2022,Bretagne,35-39 ans,M,97316
2022,Bretagne,40-44 ans,F,104253
2022,Bretagne,40-44 ans,M,102261
2022,Bretagne,45-49 ans,F,109122
2022,Bretagne,45-49 ans,M,109191
2022,Bretagne,50-54 ans,F,113842
2022,Bretagne,50-54 ans,M,112988
2022,Bretagne,55-59 ans,F,114118
2022,Bretagne,55-59 ans,M,111046
2022,Bretagne,60 ans ou plus,F,2326470
2022,Bretagne,60 ans ou plus,M,2113911
2022,Centre-Val de Loire,20-24 ans,F,64731
2022,Centre-Val de Loire,20-24 ans,M,69149
2022,Centre-Val de Loire,25-29 ans,F,61750
2022,Centre-Val de Loire,25-29 ans,M,62811
2022,Centre-Val de Loire,30-34 ans,F,71276
2022,Centre-Val de Loire,30-34 ans,M,69268
2022,Centre-Val de Loire,35-39 ans,F,76339
2022,Centre-Val de Loire,35-39 ans,M,73099
2022,Centre-Val de Loire,40-44 ans,F,77170
2022,Centre-Val de Loire,40-44 ans,M,74453
2022,Centre-Val de Loire,45-49 ans,F,81870
